%eval_id interface diff gb_saturation gb_sweeping crack ath EXP_39 EXP_29 EXP_42 EXP_41 EXP_3 EXP_40 EXP_38 EXP_26 EXP_1 EXP_43 EXP_7 EXP_9 EXP_8 EXP_4 EXP_19 EXP_10 EXP_17 EXP_25 EXP_45 EXP_6 EXP_2 EXP_16 EXP_13 EXP_14 EXP_11 EXP_15 EXP_12 EXP_5 EXP_18 EXP_44 EXP_28
14 NO_ID 30.28437954 8.13168124 0.1273794081 0.8702390083 6.742098607 0.2931058 0.0806393 0.3395708 0.3495942 0.08704584 0.2703592 0.3186847 0.1889056 0.1582633 0.1090574 0.3088508 0.2462949 0.335393 0.06263719 0.160142 0.1971227 0.360699 0.1516071 0.03729314 0.1186383 0.202535 0.2740878 0.2740799 0.3310594 0.4411272 0.3124966 0.2335201 0.1788797 0.4032432 0.1556427 0.06157817
15 NO_ID 12.42344466 7.395747244 0.4713224592 0.7985260939 6.418187848 0.2660262 0.06272665 0.3063692 0.3167147 0.07227116 0.2343981 0.2912487 0.1490023 0.1122455 0.07824491 0.2586128 0.2012441 0.2941772 0.04914826 0.133762 0.1497532 0.3276706 0.1169171 0.02476134 0.08937871 0.1524227 0.236656 0.232261 0.296218 0.3969142 0.2798688 0.1928492 0.1384772 0.3725072 0.1207178 0.04741469
16 NO_ID 5.490537512 4.505353987 0.6932815989 0.8437975782 7.482303052 0.2569578 0.05513629 0.2874706 0.2955746 0.06487158 0.2119263 0.2805464 0.1223887 0.08602215 0.06175385 0.2228706 0.1705654 0.2666353 0.04261052 0.1238936 0.1224684 0.3121973 0.09524893 0.02131708 0.07654399 0.1269442 0.2182545 0.2074197 0.2751831 0.37022 0.2633428 0.1676838 0.113632 0.3595352 0.09491035 0.04059574
17 NO_ID 39.91100041 6.280292782 0.4519050716 0.6109698506 6.521973363 0.2638622 0.07721514 0.3317477 0.3457333 0.07406964 0.2615776 0.2892133 0.1886968 0.1016781 0.1042533 0.2936911 0.2492129 0.3132549 0.04968795 0.1786744 0.1725142 0.374853 0.1521982 0.03811719 0.09925205 0.1526572 0.2852575 0.2850748 0.344581 0.4302327 0.3221531 0.2492029 0.1514385 0.4183399 0.1664914 0.06256292
18 NO_ID 33.6696311 7.602024536 0.2230818479 0.9561696231 2.547836211 0.3048957 0.07654288 0.3428275 0.3516562 0.08816247 0.2729646 0.329263 0.1875285 0.1586568 0.1100205 0.3138043 0.2447245 0.3405739 0.06734252 0.1571047 0.2033764 0.3580489 0.1476702 0.03359482 0.1206263 0.2058701 0.2708965 0.2725947 0.3298295 0.4400879 0.3123022 0.2312099 0.1861074 0.4010383 0.1545335 0.05692277
19 NO_ID 11.47448847 4.129051945 0.6449128787 0.562535118 8.42251568 0.2361297 0.05901657 0.2952603 0.3080037 0.06035938 0.2197037 0.2593577 0.1396239 0.07702667 0.07134136 0.2311032 0.2007259 0.2576064 0.03908125 0.1414183 0.1216002 0.333818 0.110644 0.02479056 0.07357215 0.1116831 0.2383469 0.2285401 0.3007511 0.3856129 0.2816007 0.1969553 0.1093377 0.3805661 0.1211183 0.04493307
20 NO_ID 33.08253876 5.03183865 0.366437339 0.9144049962 3.545186281 0.3006449 0.07780515 0.3425027 0.3516964 0.08419621 0.2724296 0.3251663 0.189934 0.160286 0.1101066 0.3148725 0.2528196 0.3396809 0.06757964 0.1622276 0.2017414 0.3632978 0.1498969 0.03458506 0.1185392 0.2007731 0.2748777 0.2754866 0.3329721 0.4473412 0.3153709 0.2338895 0.1820142 0.4071767 0.1565008 0.05823182
21 NO_ID 29.05833056 2.086737742 0.1940390361 0.2845709749 1.166857009 0.2074815 0.05098996 0.2787518 0.294826 0.04111723 0.2002992 0.2329197 0.1549862 0.07419346 0.08273447 0.2198057 0.2095758 0.2438219 0.02773437 0.1317793 0.1092248 0.3191751 0.1186231 0.01905303 0.06210192 0.08931613 0.2189525 0.2258139 0.2910634 0.3856251 0.2620443 0.2141306 0.08146761 0.3655733 0.1423033 0.03425312
22 NO_ID 16.51508233 8.232365672 0.4571500022 0.8349238329 2.250723407 0.2740988 0.06061563 0.3128284 0.3226505 0.0738518 0.2407177 0.2990945 0.153814 0.101985 0.08141096 0.2730494 0.2061125 0.3032307 0.05067285 0.1326016 0.1514318 0.3294265 0.1183949 0.02243848 0.08897825 0.1635787 0.2386276 0.2382437 0.3006275 0.4019302 0.2843304 0.1968617 0.145988 0.3740576 0.1253484 0.04319291
23 NO_ID 5.199652861 7.54669403 0.930757563 0.9963540941 5.959085752 0.2739308 0.05406951 0.2914582 0.2991748 0.06870026 0.217358 0.2983188 0.1205769 0.1037112 0.06120046 0.2327069 0.1703363 0.2763501 0.04492546 0.1293038 0.13413 0.3158678 0.09260836 0.01949946 0.08078092 0.1405648 0.2234812 0.2112438 0.2802705 0.3691641 0.2689411 0.1702235 0.125515 0.361565 0.09098242 0.03922959
24 NO_ID 17.0573915 5.889405743 0.3861022873 0.0180374317 3.665927998 0.06208143 0.01125566 0.1060837 0.122681 0.004667927 0.05381856 0.07501098 0.06049883 0.005800761 0.02777239 0.0557282 0.03255058 0.05444 0.003266439 0.02846942 0.008337665 0.1377662 0.04515784 0.005998199 0.0062193 0.007902625 0.0676005 0.061405 0.1064026 0.1302193 0.08268151 0.05950103 0.005707413 0.180132 0.05662632 0.00881467
25 NO_ID 21.45472838 3.461366102 0.248348272 0.8223305058 0.5313566101 0.2773138 0.06246916 0.3200931 0.3292541 0.074597 0.2459874 0.3008175 0.1634357 0.1210778 0.08822806 0.2855316 0.2301657 0.3096061 0.05144044 0.1317612 0.1621499 0.3368702 0.1247331 0.02325276 0.09258599 0.1695089 0.2431613 0.2447469 0.3065897 0.4132045 0.2904105 0.2026522 0.1496702 0.3833093 0.1352383 0.04338968
26 NO_ID 29.2647116 1.724466295 0.9354728704 0.0657386247 9.604955615 0.1918108 0.05984238 0.2664371 0.2824914 0.0354499 0.1961887 0.2186249 0.160026 0.05759581 0.09031713 0.2147843 0.1752251 0.225146 0.03052656 0.1142037 0.1051686 0.3034235 0.1271064 0.02456159 0.07489254 0.08242441 0.2131258 0.2031969 0.2696483 0.3316881 0.2407364 0.1932951 0.05884755 0.3498714 0.1377144 0.04386671
27 NO_ID 14.2596081 6.168821253 0.5875900537 0.7473084409 9.98051684 0.2657998 0.07075065 0.3148887 0.3257859 0.07511447 0.2436222 0.2910618 0.1603299 0.1154016 0.0858798 0.2677446 0.217168 0.2993396 0.04272519 0.1515673 0.1563517 0.3458097 0.1283094 0.03097531 0.09726551 0.1556485 0.255252 0.2483814 0.311973 0.4050875 0.2948724 0.2096457 0.1429995 0.389973 0.1314269 0.05611277
28 NO_ID 29.76474934 6.807288514 0.2822756563 0.1210168474 0.2386658344 0.126328 0.01828274 0.160764 0.1948596 0.01542845 0.08072955 0.1612334 0.08282755 0.02472187 0.04020068 0.09769598 0.07761036 0.09448083 0.009542407 0.08625533 0.03728697 0.1991758 0.0627832 0.008082264 0.01549622 0.02784055 0.1244744 0.1223846 0.2002482 0.2210093 0.15073 0.1767628 0.02786234 0.2403027 0.1029 0.01268944
29 NO_ID 4.490961623 6.566799361 0.1336200307 0.9832472478 7.586648715 0.2443269 0.04826827 0.2603705 0.2685051 0.05884881 0.1898248 0.269022 0.1113727 0.08665524 0.05911192 0.2026831 0.1472665 0.2385893 0.04078915 0.08935654 0.1104484 0.2561918 0.08739632 0.02042437 0.07095023 0.1149023 0.171822 0.1705389 0.2278876 0.3432761 0.2146515 0.1374605 0.1055798 0.3030644 0.08701901 0.03714437
30 NO_ID 26.18706253 8.340835141 0.269991846 0.07979947834 4.539311942 0.1122462 0.01976974 0.1398268 0.1754205 0.01327413 0.06127569 0.1429173 0.06556618 0.01928599 0.03288583 0.07388058 0.05721772 0.07021482 0.008685158 0.07384354 0.03141532 0.1627937 0.05305641 0.01124702 0.01604284 0.02174875 0.1012553 0.101302 0.1634945 0.1599009 0.1182537 0.1511379 0.02385674 0.199262 0.08414952 0.01646548
31 NO_ID 5.559116608 2.274314472 0.4926382624 0.94749602 5.065261709 0.265631 0.04957408 0.285533 0.2923584 0.06370745 0.2074803 0.287837 0.118858 0.09912735 0.06039953 0.2268705 0.1770416 0.2656758 0.04268269 0.1089784 0.1254265 0.2987309 0.09064894 0.01818107 0.07753989 0.1350098 0.2027386 0.1950193 0.2623957 0.3681755 0.2523583 0.1558645 0.1151455 0.3476939 0.09201501 0.03608384
32 NO_ID 8.985352933 6.945107617 0.10580708 0.9902889475 2.634620836 0.2682505 0.04999612 0.28757 0.2957954 0.06712497 0.2149557 0.2934721 0.1289392 0.1039326 0.06844836 0.2427754 0.1718383 0.2749324 0.04689037 0.09634428 0.1329683 0.2844198 0.09774758 0.0174927 0.08191942 0.1452264 0.1942878 0.1964745 0.2579795 0.3755227 0.2438792 0.1585229 0.1318191 0.3322328 0.1028817 0.0357096
33 NO_ID 11.07655557 8.933655031 0.3264802254 0.4291298125 4.897264043 0.2050315 0.04324494 0.2713457 0.286243 0.04624357 0.1909409 0.2292163 0.109451 0.06075928 0.05258776 0.1852938 0.1520109 0.2099861 0.02892937 0.1152105 0.08598858 0.2969969 0.08602951 0.01772228 0.04838057 0.07768734 0.2011929 0.2037118 0.2762764 0.3573974 0.2541971 0.1790186 0.08243108 0.3415332 0.1108173 0.03240422
34 NO_ID 0.1494368635 0.7939111697 0.7089923535 0.3556381773 5.269334596 0.1845867 0.0244322 0.2084127 0.2137347 0.02190417 0.1287778 0.2124002 0.0444316 0.02166408 0.01570394 0.05660042 0.04971078 0.1030871 0.01023275 0.07902306 0.03180835 0.2518547 0.03405733 0.008766249 0.02425336 0.02831849 0.1525594 0.1216933 0.2022467 0.1703896 0.2015695 0.09702526 0.02289935 0.3028563 0.02738396 0.01725917
35 NO_ID 23.24526118 7.688655492 0.8435096426 0.9262875251 5.090455278 0.295809 0.07513027 0.335134 0.3441369 0.08347112 0.2647662 0.3208523 0.1765372 0.14876 0.1002488 0.301643 0.2375339 0.330806 0.06625187 0.1633357 0.1941578 0.3579029 0.1391902 0.03159957 0.1148447 0.2023796 0.2702032 0.2675339 0.3272778 0.4315746 0.3101365 0.2254984 0.1756384 0.4006019 0.1435502 0.05617674
36 NO_ID 16.65049359 8.523678867 0.6274519472 0.7810612635 3.020955802 0.269149 0.06166134 0.3132092 0.3237065 0.07313277 0.2411733 0.2943166 0.1545839 0.1128984 0.08068165 0.2681152 0.2095665 0.3022552 0.04945401 0.1402419 0.1494965 0.3356526 0.1198024 0.02334555 0.09059989 0.1632775 0.2450767 0.2431876 0.3061348 0.4030611 0.289307 0.2018089 0.1421838 0.3797479 0.1268135 0.04489897
37 NO_ID 27.8568466 0.6312539934 0.769342283 0.9190599544 0.8892042038 0.3227322 0.07213563 0.3488488 0.3599504 0.1364993 0.2892775 0.3433935 0.1845185 0.2137686 0.1044679 0.3365504 0.3069593 0.351726 0.1804798 0.1592495 0.2568473 0.3685058 0.141277 0.02850043 0.2196005 0.2395492 0.2779268 0.2901335 0.3406062 0.4477177 0.3193019 0.2574962 0.2421773 0.4126769 0.1498828 0.05197211
38 NO_ID 7.491288647 5.435195699 0.3143689236 0.5535116891 3.381907325 0.2182936 0.04111104 0.2681903 0.2801016 0.04819967 0.1910026 0.2416601 0.1088919 0.06372935 0.05174936 0.1893776 0.148007 0.2194937 0.03033329 0.1013444 0.08652262 0.2865356 0.08350829 0.01513016 0.05266815 0.08398569 0.1909362 0.1875062 0.2575097 0.3562068 0.2417042 0.1574376 0.08315954 0.3352453 0.09719613 0.02954711
39 NO_ID 17.95427619 0.3735508184 0.5849861717 0.8596240924 9.590631601 0.3215717 0.0793807 0.3429227 0.3550074 0.1595561 0.2865003 0.3427941 0.1799463 0.2342909 0.1018526 0.3287986 0.2989113 0.3466415 0.2009617 0.1619425 0.2541655 0.3676036 0.1423214 0.03530545 0.2275866 0.2577968 0.2778083 0.2889563 0.3385172 0.4355037 0.3154945 0.2613249 0.2536079 0.4117209 0.1442482 0.06116688
40 NO_ID 10.11802662 4.302601655 0.7456048567 0.7892251044 4.918786462 0.2627048 0.05906929 0.3028914 0.3118469 0.06946318 0.2281078 0.2872119 0.1396885 0.09324823 0.0712485 0.2499587 0.1972441 0.2880069 0.04619171 0.1336643 0.137709 0.3288237 0.1072434 0.02110426 0.08468842 0.1430036 0.2346242 0.2275014 0.2947156 0.3924931 0.2799853 0.186777 0.1315946 0.375302 0.1123163 0.04193367
41 NO_ID 30.03185596 9.361687542 0.7103022864 0.1843164283 7.832617085 0.152877 0.03965853 0.1986304 0.233192 0.02918202 0.1149676 0.1892343 0.09616861 0.04414915 0.05089933 0.1329455 0.1176307 0.1401947 0.01884308 0.136399 0.05917299 0.246555 0.08137737 0.02213058 0.03547713 0.04814528 0.1772485 0.1741525 0.2549171 0.2765854 0.2018477 0.2217001 0.04964488 0.2805554 0.1255474 0.03275878
42 NO_ID 22.18086134 9.487552604 0.1793263077 0.7281648476 1.47774087 0.2647206 0.06087655 0.3145112 0.3258137 0.07172105 0.2422118 0.2895539 0.1602939 0.1013265 0.08369794 0.2746567 0.2122049 0.2992617 0.04854192 0.1331218 0.1465088 0.3337533 0.1247539 0.02418669 0.08486293 0.1534763 0.242816 0.2451198 0.3065143 0.4055797 0.2881871 0.2048856 0.141965 0.3775396 0.1349179 0.04496942
43 NO_ID 26.32299104 8.98546235 0.3538924088 0.326787865 8.369151169 0.1965085 0.05325725 0.277107 0.2955513 0.04604249 0.1900127 0.2246961 0.1257109 0.06176417 0.0667124 0.1926043 0.1692782 0.2100436 0.02936687 0.1510264 0.09687901 0.3215042 0.1049255 0.02769655 0.05405843 0.07853583 0.2281619 0.2295363 0.3090142 0.3725102 0.2775958 0.2272756 0.08399792 0.362689 0.1424671 0.04268596
44 NO_ID 30.44372557 0.7071929617 0.174305722 0.3111686212 7.420085536 0.2892237 0.07569297 0.3310834 0.3457757 0.1142526 0.2731679 0.3130448 0.1881744 0.1813926 0.1084707 0.3104488 0.2879 0.3265455 0.1438472 0.1560262 0.2226351 0.3613251 0.1489569 0.03406055 0.2021376 0.2059436 0.2707579 0.2810148 0.33222 0.4196306 0.3046108 0.2643445 0.191837 0.4060864 0.1591888 0.05674658
45 NO_ID 14.12648216 4.921455535 0.8644799561 0.305944668 6.58780202 0.1788383 0.044468 0.2511628 0.2708684 0.04042409 0.161411 0.205833 0.1177433 0.05169553 0.05765185 0.1873061 0.1520571 0.1881757 0.02492419 0.135323 0.07560523 0.2994361 0.09277952 0.01962206 0.04371107 0.06418172 0.2061586 0.1986755 0.2814479 0.3279719 0.2513515 0.2021035 0.06749818 0.3435936 0.1191635 0.03375722
46 NO_ID 22.76902109 3.293940708 0.4554712991 0.6042826307 6.197694107 0.2544764 0.06759139 0.3161524 0.3286282 0.06874469 0.2421477 0.277198 0.1680664 0.09579946 0.09086444 0.2696832 0.2398582 0.2979567 0.0461858 0.1538873 0.1496082 0.3549523 0.1329359 0.02969111 0.09139416 0.1432966 0.2601069 0.2560234 0.3213085 0.4103801 0.2998736 0.2206541 0.1344801 0.3999043 0.1451234 0.05058081
47 NO_ID 15.64223319 8.877156034 0.8510938536 0.8100423825 0.6278354735 0.2718043 0.05778667 0.3119276 0.3215984 0.07248133 0.2387836 0.2966654 0.1491231 0.1123456 0.07660425 0.2672669 0.2041067 0.3014167 0.04862466 0.1386969 0.1476545 0.3329797 0.1134168 0.01956678 0.0837467 0.1542988 0.2422352 0.2411657 0.304159 0.4031059 0.2886915 0.1976289 0.1420937 0.3770631 0.1210859 0.04001402
